DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
14K380,P.S. 380 John Wayne Elementary,100%,100%, ,98%,97%,97%
14K414,Brooklyn Arbor Elementary School,76%,100%, ,95%,94%,97%
14K449,"Brooklyn Latin School, The",20%,68%,94%,93%,90%,93%
14K454,Green School: An Academy for Environmental Careers,21%,65%,43%,84%,81%,80%
14K474,PROGRESS High School for Professional Careers,30%,55%,58%,89%,88%,84%
14K477,School for Legal Studies,23%,74%,50%,83%,86%,80%
14K478,"The High School for Enterprise, Business and Technology",24%,66%,32%,88%,87%,86%
14K488,Brooklyn Preparatory High School,13%,92%,80%,80%,82%,81%
14K558,Williamsburg High School for Architecture and Design,53%,100%,89%,98%,97%,96%
14K561,Williamsburg Preparatory School,34%,100%,82%,94%,94%,93%
14K577,Conselyea Preparatory School,99%,84%,97%,94%,93%,91%
14K582,M.S. 582,44%,100%,97%,94%,93%,93%
14K586,Lyons Community School,2%,96%,69%,92%,90%,86%
14K610,Automotive High School,28%,74%,23%,85%,84%,85%
14K614,Young Women's Leadership School of Brooklyn,59%,100%,94%,93%,89%,91%
14K632,Frances Perkins Academy,31%,83%,72%,89%,83%,87%
14K685,El Puente Academy for Peace and Justice,48%,100%,82%,92%,90%,92%
14K923,Automotive High School Yabc,1%,79%,54%,96%,96%,95%
15K001,P.S. 001 The Bergen,28%,43%, ,87%,82%,86%
15K010,"Magnet School of Math, Science and Design Technology",45%,98%, ,95%,94%,96%
15K015,P.S. 015 Patrick F. Daly,61%,81%, ,96%,93%,95%
15K024,P.S. 024,66%,83%, ,89%,84%,91%
15K029,P.S. 029 John M. Harrigan,66%,79%, ,92%,90%,96%
15K032,P.S. 032 Samuel Mills Sprole,82%,93%, ,96%,93%,95%
15K038,P.S. 038 The Pacific,81%,95%, ,93%,89%,91%
15K039,P.S. 039 Henry Bristow,74%,92%, ,96%,94%,97%
15K051,M.S. 51 William Alexander,60%,100%,97%,89%,89%,92%
15K058,P.S. 058 The Carroll,61%,90%, ,95%,90%,96%
15K088,J.H.S. 088 Peter Rouget,34%,49%,66%,90%,86%,87%
15K094,P.S. 094 The Henry Longfellow,91%,69%, ,86%,84%,87%
15K107,P.S. 107 John W. Kimball,94%,85%, ,93%,92%,95%
15K118,The Maurice Sendak Community School,85%,100%, ,96%,95%,98%
15K124,P.S. 124 Silas B. Dutcher,57%,100%, ,88%,84%,90%
15K130,P.S. 130 The Parkside,76%,68%, ,90%,88%,90%
15K131,P.S. 131 Brooklyn,48%,97%, ,97%,94%,95%
15K136,I.S. 136 Charles O. Dewey,27%,91%,94%,94%,91%,92%
15K146,P.S. 146,54%,100%, ,98%,96%,97%
15K154,The Windsor Terrace School,57%,100%, ,93%,94%,94%
15K169,P.S. 169 Sunset Park,60%,94%, ,93%,91%,91%
15K172,P.S. 172 Beacon School of Excellence,100%,100%, ,99%,98%,98%
15K230,P.S. 230 Doris L. Cohen,67%,85%, ,99%,94%,96%
15K261,P.S. 261 Philip Livingston,72%,79%, ,94%,89%,92%
15K295,P.S. 295,84%,97%, ,95%,95%,96%
15K321,P.S. 321 William Penn,50%,78%, ,97%,97%,97%
15K418,P.S. 372 -The Children's School,41%,61%, ,95%,93%,98%
15K423,Brooklyn Frontiers High School,37%,96%,74%,91%,88%,86%
15K429,Brooklyn School for Global Studies,16%,93%,77%,83%,77%,81%
15K442,M.S. 442 Carroll Gardens School for Innovation,46%,97%,83%,93%,94%,89%
15K443,New Voices School of Academic & Creative Arts,47%,84%,99%,92%,90%,91%
15K447,The Math & Science Exploratory School,63%,87%,92%,89%,87%,87%
15K448,Brooklyn Secondary School for Collaborative Studies,23%,77%,82%,86%,82%,85%
15K462,Secondary School for Law,99%,71%,76%,87%,82%,82%
15K463,Secondary School for Journalism,24%,68%,87%,64%,61%,67%
15K464,Park Slope Collegiate,11%,66%,64%,89%,85%,87%
15K497,School for International Studies,12%,70%,77%,81%,76%,78%
15K516,Sunset Park Avenues Elementary School,100%,100%, ,99%,98%,98%
15K519,Cobble Hill School of American Studies,34%,88%,51%,82%,79%,82%
15K529,West Brooklyn Community High School,53%,100%,79%,93%,93%,92%
15K530,Metropolitan Corporate Academy High School,44%,100%,69%,94%,92%,95%
15K592,Khalil Gibran International Academy,80%,92%,81%,95%,93%,94%
15K656,Brooklyn High School of the Arts,26%,77%,94%,85%,80%,85%
15K667,Sunset Park High School,34%,89%,79%,91%,90%,89%
15K676,Red Hook Neighborhood School,40%,68%, ,83%,77%,81%
15K684,Millennium Brooklyn HS,42%,100%,91%,95%,94%,95%
15K698,South Brooklyn Community High School,8%,92%,38%,94%,92%,93%
15K821,Sunset Park Prep,22%,95%,92%,90%,89%,89%
16K005,P.S. 005 Dr. Ronald Mcnair,58%,56%, ,90%,87%,91%
16K021,P.S. 021 Crispus Attucks,75%,72%, ,94%,91%,93%
16K025,P.S. 025 Eubie Blake School,67%,96%, ,94%,92%,92%
16K026,P.S. 026 Jesse Owens,69%,71%, ,90%,83%,90%
16K028,P.S. 028 The Warren Prep Academy,70%,86%, ,93%,89%,90%
16K035,M.S. 035 Stephen Decatur,92%,94%,98%,96%,94%,95%
16K040,P.S. 040 George W. Carver,58%,100%, ,99%,98%,96%
16K057,J.H.S. 057 Whitelaw Reid,44%,82%,95%,97%,95%,94%
16K081,P.S. 081 Thaddeus Stevens,72%,91%, ,95%,94%,96%
16K243,P.S. 243K- The Weeksville School,35%,74%, ,89%,82%,89%
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,50%,59%,96%,88%,83%,87%
16K267,"M.S. 267 Math, Science & Technology",52%,100%,97%,92%,91%,88%
16K308,P.S. 308 Clara Cardwell,75%,98%,90%,90%,88%,86%
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,96%,88%, ,91%,86%,90%
16K335,P.S. 335 Granville T. Woods,54%,100%, ,94%,92%,92%
16K385,"School of Business, Finance and Entrepreneurship",81%,93%,81%,88%,85%,83%
16K393,Frederick Douglass Academy IV Secondary School,36%,100%,89%,90%,87%,90%
16K455,Boys and Girls High School,8%,84%,51%,90%,87%,84%
16K498,Brooklyn High School for Law and Technology,27%,48%,43%,78%,79%,79%
16K534,Upper School @ P.S. 25,51%,100%,97%,82%,83%,82%
16K584,M.S. 584,34%,64%,88%,92%,88%,88%
16K594,Gotham Professional Arts Academy,20%,89%,77%,91%,89%,92%
16K627,Brighter Choice Community School,100%,100%, ,95%,91%,95%
16K628,Brooklyn Brownstone School,100%,100%, ,96%,93%,96%
16K636,Young Scholars' Academy for Discovery and Exploration,83%,94%, ,97%,91%,95%
16K669,Research and Service High School,13%,43%,55%,90%,90%,90%
16K681,Madiba Prep Middle School,52%,91%,97%,90%,88%,89%
16K688,The Brooklyn Academy of Global Finance,28%,86%,73%,86%,83%,86%
16K959,BOYS AND GIRLS YABC,16%,52%,41%,94%,94%,92%
17K002,Parkside Preparatory Academy,30%,57%,80%,93%,92%,89%
17K006,P.S. 006,19%,53%, ,95%,92%,94%
17K012,Dr. Jacqueline Peek-Davis School,66%,65%, ,83%,77%,81%
17K022,P.S. 022,30%,29%, ,97%,97%,93%
17K061,M.S. 061 Dr. Gladstone H. Atwell,27%,60%,83%,87%,86%,82%
17K091,P.S. 091 The Albany Avenue School,72%,89%, ,88%,82%,86%
17K092,P.S. 092 Adrian Hegeman,32%,62%, ,96%,91%,93%
17K122,Pathways in Technology Early College High School (P-Tech),19%,76%,80%,84%,80%,84%
17K138,P.S. 138 Brooklyn,57%,89%,87%,93%,90%,88%
17K161,P.S. 161 The Crown,40%,75%,22%,95%,91%,92%
17K167,P.S. 167 The Parkway,47%,56%, ,94%,91%,89%
17K181,P.S. 181 Brooklyn,46%,41%,94%,84%,75%,75%
17K189,P.S. 189 Lincoln Terrace,66%,100%,92%,92%,90%,87%
17K191,P.S. 191 Paul Robeson,40%,61%, ,82%,85%,86%
17K221,P.S. 221 Toussaint L'Ouverture,79%,74%, ,98%,96%,97%
17K241,P.S. 241 Emma L. Johnston,79%,73%, ,94%,89%,90%
17K246,M.S. 246 Walt Whitman,42%,71%,91%,85%,80%,78%
17K249,P.S. 249 The Caton,89%,100%, ,97%,97%,96%
17K289,P.S. 289 George V. Brower,62%,59%, ,91%,82%,86%
17K316,P.S. 316 Elijah Stroud,58%,100%, ,91%,89%,90%
17K334,Middle School for Academic and Social Excellence,22%,92%,78%,92%,91%,90%
17K340,I.S. 340,40%,92%,99%,89%,83%,88%
17K352,Ebbets Field Middle School,72%,63%,88%,89%,83%,81%
17K353,Elijah Stroud Middle School,56%,81%,97%,88%,90%,85%
17K354,The School of Integrated Learning,94%,100%,96%,96%,95%,93%
17K375,P.S. 375 Jackie Robinson School,46%,80%, ,94%,89%,90%
17K382,Academy for College Preparation and Career Exploration: A College Board School,15%,79%,82%,83%,79%,80%
17K394,M.S. K394,36%,95%,90%,89%,85%,84%
17K397,P.S. 397 Foster-Laurie,50%,84%, ,91%,86%,91%
17K398,P.S. 398 Walter Weaver,72%,94%, ,91%,86%,90%
17K399,P.S. 399 Stanley Eugene Clark,55%,74%, ,84%,76%,87%
17K408,Academy of Hospitality and Tourism,56%,70%,69%,80%,77%,74%
17K467,Erasmus Yabc,58%,95%,70%,94%,94%,92%
17K484,Ronald Edmonds Learning Center II,16%,64%,90%,97%,98%,97%
17K489,W.E.B. Dubois Academic High School,20%,78%,56%,91%,91%,89%
17K524,International High School at Prospect Heights,41%,94%,80%,92%,89%,90%
17K528,The High School for Global Citizenship,33%,100%,94%,89%,88%,87%
17K531,"School for Human Rights, The",53%,100%,98%,93%,92%,89%
17K532,New Bridges Elementary,55%,89%, ,99%,98%,96%
17K533,School for Democracy and Leadership,65%,100%,86%,79%,84%,78%
17K537,High School for Youth and Community Development at Erasmus,49%,83%,83%,89%,88%,86%
17K539,High School for Service & Learning at Erasmus,28%,96%,72%,91%,88%,85%
17K543,"Science, Technology and Research Early College High School at Erasmus",76%,57%,97%,95%,92%,93%
17K544,International Arts Business School,11%,90%,69%,84%,84%,85%
17K546,High School for Public Service: Heroes of Tomorrow,40%,77%,93%,92%,88%,92%
17K547,Brooklyn Academy of Science and the Environment,30%,94%,90%,84%,82%,82%
17K548,Brooklyn School for Music & Theatre,58%,96%,84%,76%,80%,74%
17K568,Brownsville Academy High School,26%,100%,66%,93%,93%,91%
17K587,Middle School for the Arts,29%,75%,89%,83%,69%,74%
17K590,Medgar Evers College Preparatory School,44%,41%,72%,88%,85%,87%
17K600,Clara Barton High School,17%,80%,80%,78%,78%,76%
17K625,Paul Robeson High School,26%,57%,48%,72%,71%,81%
17K705,Brooklyn Arts and Science Elementary School,78%,82%, ,92%,87%,91%
17K722,New Heights Middle School,68%,67%,88%,89%,92%,85%
17K745,Brooklyn Institute for Liberal Arts,67%,81%,91%,92%,89%,91%
17K751,Academy for Health Careers,17%,77%,82%,88%,85%,85%
17K770,P.S. 770 New American Academy,70%,75%, ,97%,93%,97%
18K066,P.S. 66,40%,83%,95%,88%,87%,84%
18K068,I.S. 068 Isaac Bildersee,15%,78%,94%,81%,76%,72%
18K114,P.S. 114 Ryder Elementary,96%,78%, ,94%,89%,89%
18K115,P.S. 115 Daniel Mucatel School,50%,84%, ,92%,91%,88%
18K135,P.S. 135 Sheldon A. Brookner,53%,82%, ,93%,89%,92%
18K208,P.S. 208 Elsa Ebeling,39%,84%, ,94%,92%,94%
18K211,I.S. 211 John Wilson,39%,41%,91%,82%,77%,75%
18K219,P.S. 219 Kennedy-King,42%,50%, ,91%,86%,88%
18K233,P.S. 233 Langston Hughes,39%,98%, ,94%,91%,90%
18K235,P.S. 235 Lenox School,30%,64%,99%,92%,84%,88%
18K244,P.S. 244 Richard R. Green,44%,63%, ,88%,81%,86%
18K268,P.S. 268 Emma Lazarus,62%,48%, ,98%,95%,96%
18K272,P.S. 272 Curtis Estabrook,61%,71%, ,84%,79%,85%
18K276,P.S. 276 Louis Marshall,71%,93%, ,92%,87%,91%
18K279,P.S. 279 Herman Schreiber,70%,82%, ,88%,85%,88%
18K285,I.S. 285 Meyer Levin,26%,50%,89%,84%,81%,76%
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,53%,81%,95%,91%,86%,84%
18K563,It Takes a Village Academy,64%,100%,87%,93%,92%,88%
18K566,Brooklyn Generation School,25%,100%,74%,90%,87%,88%
18K567,Brooklyn Theatre Arts High School,25%,100%,91%,87%,86%,83%
18K569,Kurt Hahn Expeditionary Learning School,42%,96%,96%,94%,94%,91%
18K576,Victory Collegiate High School,24%,91%,31%,93%,91%,90%
18K578,Brooklyn Bridge Academy,73%,81%,79%,91%,87%,88%
18K581,East Flatbush Community Research School,70%,100%,95%,86%,84%,77%
18K588,Middle School for Art and Philosophy,56%,96%,93%,87%,85%,80%
18K589,Arts & Media Preparatory Academy,27%,64%,77%,88%,84%,85%
18K598,Middle School of Marketing and Legal Studies,24%,88%,71%,89%,91%,78%
18K617,High School for Innovation in Advertising and Media,38%,4%,53%,89%,84%,85%
18K629,Cultural Academy for the Arts and Sciences,9%,54%,54%,84%,82%,83%
18K633,High School for Medical Professions,12%,70%,82%,85%,81%,80%
18K635,Olympus Academy,12%,77%,45%,89%,88%,88%
18K637,Academy for Conservation and the Environment,52%,100%,85%,89%,88%,85%
18K642,Urban Action Academy,46%,100%,86%,80%,78%,78%
18K673,East Brooklyn Community High School,22%,94%,67%,95%,94%,92%
18K922,South Shore Educational Complex Yabc,53%,88%,51%,95%,95%,95%
19K007,P.S. 007 Abraham Lincoln,65%,88%, ,91%,86%,89%
19K013,P.S. 013 Roberto Clemente,43%,83%, ,90%,87%,86%
19K089,P.S. 089 Cypress Hills,65%,100%,97%,93%,90%,91%
19K108,P.S. 108 Sal Abbracciamento,69%,89%, ,96%,92%,92%
19K149,P.S. 149 Danny Kaye,41%,53%, ,83%,75%,79%
19K158,P.S. 158 Warwick,73%,68%, ,97%,96%,96%
19K159,P.S. 159 Isaac Pitkin,51%,98%, ,97%,95%,95%
19K166,J.H.S. 166 George Gershwin,56%,46%,91%,83%,84%,75%
19K171,I.S. 171 Abraham Lincoln,50%,80%,90%,90%,88%,85%
19K174,P.S. 174 Dumont,49%,43%,76%,91%,87%,83%
19K190,P.S. 190 Sheffield,56%,74%, ,91%,89%,88%
19K202,P.S. 202 Ernest S. Jenkyns,55%,61%,86%,82%,79%,79%
19K213,P.S. 213 New Lots,47%,86%, ,83%,81%,83%
19K214,P.S. 214 Michael Friedsam,60%,81%, ,96%,93%,94%
19K218,J.H.S. 218 James P. Sinnott,24%,85%,75%,92%,89%,81%
19K224,P.S. 224 Hale A. Woodruff,45%,33%, ,91%,87%,88%
19K260,P.S. 260 Breuckelen,65%,100%, ,84%,79%,84%
19K273,P.S. 273 Wortman,60%,97%, ,92%,86%,93%
19K290,P.S. 290 Juan Morel Campos,48%,65%, ,93%,90%,92%
19K292,J.H.S. 292 Margaret S. Douglas,56%,66%,89%,88%,85%,79%
19K302,J.H.S. 302 Rafael Cordero,47%,66%,76%,88%,87%,78%
19K306,P.S. 306 Ethan Allen,41%,71%,94%,78%,72%,68%
19K311,Essence School,44%,92%,88%,93%,89%,86%
19K325,The Fresh Creek School,55%,79%, ,94%,92%,92%
19K328,P.S. 328 Phyllis Wheatley,51%,77%,98%,86%,84%,83%
19K345,P.S. 345 Patrolman Robert Bolden,54%,52%, ,86%,79%,87%
19K346,P.S. 346 Abe Stark,58%,80%, ,94%,91%,92%
19K364,I.S. 364 Gateway,35%,64%,90%,84%,79%,81%
19K404,Academy for Young Writers,19%,83%,71%,85%,86%,83%
19K409,East New York Family Academy,40%,87%,83%,83%,79%,82%
19K422,Spring Creek Community School,40%,93%,92%,91%,93%,91%
19K431,Thomas Jefferson Yabc,10%,84%,48%,95%,97%,96%
19K452,Frederick Douglass Academy VIII Middle School,93%,78%,97%,93%,92%,93%
19K501,Franklin K. Lane Campus YABC,33%,71%,38%,96%,93%,92%
19K502,FDNY High School for Fire and Life Safety,48%,86%,78%,89%,86%,85%
19K504,High School for Civil Rights,10%,63%,58%,89%,92%,88%
19K507,Performing Arts and Technology High School,27%,60%,55%,88%,87%,82%
19K510,World Academy for Total Community Health High School,21%,80%,84%,80%,81%,77%
19K557,Brooklyn Gardens Elementary School,71%,100%, ,98%,96%,94%
19K583,Multicultural High School,16%,82%,61%,87%,87%,83%
19K615,Transit Tech Career and Technical Education High School,10%,55%,69%,76%,74%,71%
19K618,Academy of Innovative Technology,6%,78%,59%,91%,88%,86%
19K639,Brooklyn Lab School,12%,100%,77%,86%,82%,82%
19K654,Van Siclen Community Middle School,64%,100%,82%,87%,85%,84%
19K659,Cypress Hills Collegiate Preparatory School,25%,74%,69%,80%,81%,81%
19K660,W. H. Maxwell Career and Technical Education High School,58%,97%,83%,91%,89%,88%
19K661,Vista Academy,72%,100%,97%,91%,87%,88%
19K662,Liberty Avenue Middle School,99%,100%,97%,96%,97%,94%
19K663,School of the Future Brooklyn,32%,40%,93%,84%,84%,79%
19K677,East New York Elementary School of Excellence,55%,70%, ,95%,93%,91%
19K678,East New York Middle School of Excellence,94%,96%,88%,92%,87%,86%
19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers",32%,100%,83%,86%,81%,83%
20K030,PS/IS 30 Mary White Ovington,63%,81%,94%,89%,86%,87%
20K048,P.S. 048 Mapleton,91%,100%, ,93%,88%,91%
20K062,J.H.S. 062 Ditmas,75%,98%,98%,92%,91%,90%
20K069,P.S. 69 Vincent D. Grippo School,100%,93%, ,98%,97%,95%
20K102,P.S. 102 The Bayview,85%,86%, ,94%,90%,93%
20K104,P.S./I.S. 104 The Fort Hamilton School,100%,89%,97%,91%,89%,88%
20K105,P.S. 105 The Blythebourne,100%,91%, ,94%,92%,92%
20K112,P.S. 112 Lefferts Park,98%,97%, ,96%,94%,95%
20K127,P.S. 127 Mckinley Park,90%,100%, ,93%,91%,93%
20K160,P.S. 160 William T. Sampson,100%,90%, ,95%,95%,93%
20K163,P.S. 163 Bath Beach,38%,55%,93%,96%,94%,94%
20K164,P.S. 164 Caesar Rodney,100%,98%, ,98%,97%,97%
20K170,Ralph A. Fabrizio School,84%,93%, ,92%,92%,93%
20K176,P.S. 176 Ovington,92%,80%, ,96%,95%,94%
20K179,P.S. 179 Kensington,65%,93%, ,93%,90%,92%
20K180,The SEEALL Academy,59%,66%,99%,94%,93%,92%
20K185,P.S. 185 Walter Kassenbrock,93%,100%, ,94%,93%,95%
20K186,P.S. 186 Dr. Irving A Gladstone,93%,95%, ,88%,86%,87%
20K187,The Christa McAuliffe School\I.S. 187,60%,70%,100%,94%,93%,95%
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,69%,68%,100%,94%,87%,90%
20K200,P.S. 200 Benson School,65%,79%, ,87%,84%,87%
20K201,J.H.S. 201 The Dyker Heights,93%,92%,98%,91%,89%,90%
20K204,P.S. 204 Vince Lombardi,74%,93%, ,97%,93%,94%
20K205,P.S. 205 Clarion,82%,49%, ,88%,84%,84%
20K220,J.H.S. 220 John J. Pershing,39%,89%,81%,87%,84%,82%
20K223,J.H.S. 223 The Montauk,53%,82%,92%,91%,89%,88%
20K227,J.H.S. 227 Edward B. Shallow,36%,84%,90%,90%,87%,86%
20K229,P.S. 229 Dyker,72%,86%,93%,92%,90%,91%
20K247,P.S. 247 Brooklyn,46%,67%, ,96%,92%,93%
20K259,J.H.S. 259 William Mckinley,72%,99%,96%,93%,94%,91%
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,100%,96%, ,95%,90%,92%
20K310,P.S. 310,96%,93%, ,97%,96%,96%
20K445,New Utrecht High School,52%,73%,78%,88%,88%,85%
20K485,High School of Telecommunication Arts and Technology,19%,85%,84%,92%,92%,92%
20K490,Fort Hamilton High School,47%,79%,81%,86%,86%,84%
20K503,PS 503: The School of Discovery,70%,99%, ,91%,88%,91%
20K505,Franklin Delano Roosevelt High School,41%,97%,74%,88%,88%,85%
20K506,P.S. 506: The School of Journalism & Technology,55%,100%, ,97%,96%,95%
20K609,Urban Assembly School for Criminal Justice,18%,85%,92%,93%,88%,91%
20K658,Franklin Delano Roosevelt YABC, ,24%,13%,87%,89%,91%
20K682,The Academy of Talented Scholars,85%,95%, ,99%,96%,97%
20K686,Brooklyn School of Inquiry,82%,100%, ,93%,96%,97%
20K748,P.S. 748 Brooklyn School for Global Scholars,98%,97%, ,95%,93%,95%
20K971,"School of Math, Science, and Healthy Living",92%,91%, ,95%,93%,95%
21K095,P.S. 095 The Gravesend,65%,100%,91%,93%,94%,91%
21K096,I.S. 096 Seth Low,64%,82%,92%,93%,91%,89%
21K097,P.S. 97 The Highlawn,83%,91%, ,97%,94%,95%
21K098,I.S. 98 Bay Academy,94%,91%,98%,94%,94%,92%
21K099,P.S. 099 Isaac Asimov,56%,100%,93%,95%,93%,93%
21K100,P.S. 100 The Coney Island School,95%,87%, ,94%,90%,92%
21K101,P.S. 101 The Verrazano,97%,86%, ,95%,93%,95%
21K121,P.S. 121 Nelson A. Rockefeller,79%,97%,99%,95%,89%,91%
21K128,P.S. 128 Bensonhurst,70%,80%, ,90%,82%,92%
21K153,P.S. 153 Homecrest,100%,92%, ,91%,88%,92%
21K177,P.S. 177 The Marlboro,83%,84%, ,93%,91%,93%
21K188,P.S. 188 Michael E. Berdy,64%,91%, ,94%,90%,88%
21K199,P.S. 199 Frederick Wachtel,61%,71%, ,91%,91%,91%
21K209,P.S. 209 Margaret Mead,82%,78%,96%,95%,92%,93%
21K212,P.S. 212 Lady Deborah Moody,60%,92%, ,90%,88%,90%
21K215,P.S. 215 Morris H. Weiss,68%,94%, ,96%,95%,94%
21K216,P.S. 216 Arturo Toscanini,79%,98%, ,95%,96%,95%
21K225,P.S. K225 - The Eileen E. Zaglin,78%,92%,98%,94%,91%,89%
21K226,P.S. 226 Alfred De B.Mason,66%,81%,99%,95%,93%,93%
21K228,I.S. 228 David A. Boody,52%,91%,98%,97%,96%,94%
21K238,P.S. 238 Anne Sullivan,85%,81%,99%,92%,90%,90%
21K239,Mark Twain I.S. 239 for the Gifted & Talented,80%,85%,100%,92%,90%,91%
21K253,P.S. 253,99%,92%, ,98%,98%,97%
21K281,I.S. 281 Joseph B Cavallaro,38%,78%,98%,80%,77%,82%
21K288,P.S. 288 The Shirley Tanyhill,35%,71%,97%,82%,73%,79%
21K303,I.S. 303 Herbert S. Eisenberg,98%,84%,98%,92%,88%,87%
21K329,P.S. 329 Surfside,66%,62%, ,85%,82%,81%
21K337,International High School at Lafayette,57%,79%,84%,89%,86%,88%
21K344,Rachel Carson High School for Coastal Studies,48%,79%,94%,86%,84%,85%
21K348,High School of Sports Management,13%,52%,63%,87%,80%,80%
21K410,Abraham Lincoln High School,11%,94%,65%,83%,84%,81%
21K411,Abraham Lincoln Yabc,7%,91%,28%,97%,97%,96%
21K468,Kingsborough Early College School,46%,97%,87%,89%,87%,84%
21K525,Edward R. Murrow High School,20%,89%,89%,88%,88%,86%
21K540,John Dewey High School,27%,77%,48%,82%,80%,79%
21K559,Life Academy High School for Film and Music,59%,100%,85%,93%,89%,89%
21K572,Expeditionary Learning School for Community Leaders,33%,100%,78%,94%,93%,94%
21K620,William E. Grady Career and Technical Education High School,7%,83%,66%,86%,85%,83%
21K690,Brooklyn Studio Secondary School,25%,54%,93%,75%,67%,77%
21K728,Liberation Diploma Plus,58%,82%,89%,91%,92%,91%
22K014,J.H.S. 014 Shell Bank,24%,98%,93%,89%,87%,83%
22K052,P.S. 052 Sheepshead Bay,77%,100%, ,91%,87%,92%
22K078,J.H.S. 078 Roy H. Mann,57%,93%,91%,85%,84%,79%
22K109,P.S. 109,10%,76%,84%,88%,84%,85%
22K119,P.S. 119 Amersfort,60%,93%, ,98%,97%,97%
22K134,P.S. K134,84%,82%, ,95%,93%,94%
22K139,P.S. 139 Alexine A. Fenty,52%,75%, ,85%,82%,83%
22K152,School of Science & Technology,66%,67%, ,93%,90%,92%
22K193,P.S. 193 Gil Hodges,34%,97%, ,89%,78%,86%
22K194,P.S. 194 Raoul Wallenberg,62%,89%, ,96%,94%,93%
22K195,P.S. 195 Manhattan Beach,90%,96%, ,89%,86%,91%
22K197,P.S. 197 - The Kings Highway Academy,57%,91%, ,96%,93%,95%
22K198,P.S. 198 Brooklyn,46%,74%, ,95%,93%,91%
22K203,P.S. 203 The School for Future Leaders,54%,88%, ,95%,92%,91%
22K206,P.S. 206 Joseph F Lamb,49%,89%,96%,90%,85%,87%
22K207,P.S. 207 Elizabeth G. Leary,72%,87%,96%,88%,86%,86%
22K217,P.S. 217 Colonel David Marcus School,56%,82%, ,95%,89%,92%
22K222,P.S. 222 Katherine R. Snyder,86%,97%, ,96%,93%,96%
22K234,J.H.S. 234 Arthur W. Cunningham,71%,91%,98%,91%,91%,89%
22K236,P.S. 236 Mill Basin,67%,89%, ,96%,92%,94%
22K240,Andries Hudde,33%,75%,93%,85%,84%,80%
22K245,P.S. 245,85%,100%, ,98%,97%,97%
22K251,P.S. 251 Paerdegat,25%,86%, ,89%,81%,81%
22K254,P.S. 254 Dag Hammarskjold,92%,86%, ,93%,89%,93%
22K255,P.S. 255 Barbara Reing School,50%,97%, ,96%,93%,94%
22K269,P.S. 269 Nostrand,71%,93%, ,88%,85%,84%
22K277,P.S. 277 Gerritsen Beach,92%,100%, ,96%,94%,96%
22K278,J.H.S. 278 Marine Park,53%,88%,86%,90%,88%,85%
22K312,P.S. 312 Bergen Beach,78%,98%, ,96%,95%,96%
22K315,P.S. K315,68%,89%, ,89%,86%,87%
22K326,P.S. 326,60%,100%, ,100%,98%,98%
22K361,P.S. 361 East Flatbush Early Childhood School,47%,80%, ,94%,92%,92%
22K381,I. S. 381,41%,90%,99%,87%,80%,83%
22K405,Midwood High School,13%,68%,64%,86%,87%,86%
22K425,James Madison High School,20%,54%,77%,88%,90%,85%
22K495,Sheepshead Bay High School,8%,44%,34%,77%,74%,73%
22K535,Leon M. Goldstein High School for the Sciences,25%,71%,90%,79%,76%,84%
22K555,Brooklyn College Academy,43%,100%,95%,93%,85%,94%
22K611,Origins High School,29%,88%,92%,94%,92%,92%
22K630,Professional Pathways High School,11%,100%,96%,98%,96%,96%
23K041,P.S. 041 Francis White,21%,63%,93%,87%,83%,83%
23K073,P.S. 073 Thomas S. Boyland,83%,83%,97%,88%,88%,84%
23K137,P.S./I.S. 137 Rachel Jean Mitchell,78%,78%,99%,92%,91%,89%
23K150,P.S. 150 Christopher,85%,59%, ,87%,82%,82%
23K155,P.S./ I.S. 155 Nicholas Herkimer,80%,97%,91%,95%,94%,91%
23K156,P.S. 156 Waverly,61%,100%, ,96%,93%,94%
23K165,P.S. 165 Ida Posner,36%,61%,79%,90%,88%,81%
23K178,P.S. 178 Saint Clair Mckelway,57%,97%,81%,88%,86%,84%
23K184,P.S. 184 Newport,49%,78%,77%,87%,78%,79%
23K284,P.S. 284 Lew Wallace,87%,86%,75%,92%,90%,89%
23K298,P.S. 298 Dr. Betty Shabazz,46%,82%,94%,84%,79%,81%
23K323,P.S./I.S. 323,76%,94%,97%,93%,93%,90%
23K327,P.S. 327 Dr. Rose B. English,63%,89%,100%,86%,77%,80%
23K332,P.S. 332 Charles H. Houston,62%,100%, ,94%,97%,89%
23K363,Brownsville Collaborative Middle School,47%,100%,86%,89%,90%,86%
23K392,I.S. 392,56%,95%,97%,93%,90%,90%
23K401,Christopher Avenue Community School,82%,100%, ,91%,85%,88%
23K446,Riverdale Avenue Community School,38%,96%, ,96%,94%,94%
23K493,Brooklyn Collegiate: A College Board School,34%,82%,61%,85%,83%,80%
23K514,Frederick Douglass Academy VII High School,60%,85%,78%,74%,70%,76%
